1,1,"[{""number"":""08"",""zodiac"":""鸡"",""element"":""木"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""03"",""zodiac"":""虎"",""element"":""金"",""color"":""蓝波"",""sumParity"":""合数单""},{""number"":""14"",""zodiac"":""兔"",""element"":""木"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""12"",""zodiac"":""蛇"",""element"":""水"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""18"",""zodiac"":""狗"",""element"":""土"",""color"":""绿波"",""sumParity"":""合数双""},{""number"":""09"",""zodiac"":""猴"",""element"":""木"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""15"",""zodiac"":""虎"",""element"":""金"",""color"":""蓝波"",""sumParity"":""合数单""}]",2022-12-29T13:30:00.000Z,1,"[""蛇"",""狗"",""兔"",""虎"",""猫"",""羊""]"
2,2,"[{""number"":""20"",""zodiac"":""鸡"",""element"":""水"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""16"",""zodiac"":""蛇"",""element"":""火"",""color"":""红波"",""sumParity"":""合数单""},{""number"":""28"",""zodiac"":""兔"",""element"":""木"",""color"":""绿波"",""sumParity"":""合数双""},{""number"":""02"",""zodiac"":""兔"",""element"":""木"",""color"":""红波"",""sumParity"":""合数单""},{""number"":""17"",""zodiac"":""马"",""element"":""火"",""color"":""蓝波"",""sumParity"":""合数单""},{""number"":""06"",""zodiac"":""猪"",""element"":""水"",""color"":""红波"",""sumParity"":""合数双""},{""number"":""13"",""zodiac"":""龙"",""element"":""水"",""color"":""蓝波"",""sumParity"":""合数单""}]",2022-12-30T13:30:00.000Z,1,"[""羊"",""兔"",""狗"",""虎"",""蛇"",""猪""]"
3,3,"[{""number"":""30"",""zodiac"":""狗"",""element"":""土"",""color"":""红波"",""sumParity"":""合数双""},{""number"":""33"",""zodiac"":""猴"",""element"":""木"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""07"",""zodiac"":""马"",""element"":""木"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""22"",""zodiac"":""羊"",""element"":""木"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""10"",""zodiac"":""狗"",""element"":""木"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""23"",""zodiac"":""羊"",""element"":""木"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""05"",""zodiac"":""鼠"",""element"":""土"",""color"":""绿波"",""sumParity"":""合数单""}]",2022-12-31T13:30:00.000Z,1,"[""狗"",""虎"",""兔"",""猴"",""蛇"",""猫""]"
4,4,"[{""number"":""19"",""zodiac"":""狗"",""element"":""土"",""color"":""蓝波"",""sumParity"":""合数单""},{""number"":""35"",""zodiac"":""马"",""element"":""火"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""25"",""zodiac"":""龙"",""element"":""火"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""29"",""zodiac"":""龙"",""element"":""火"",""color"":""红波"",""sumParity"":""合数单""},{""number"":""21"",""zodiac"":""猴"",""element"":""木"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""48"",""zodiac"":""蛇"",""element"":""土"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""01"",""zodiac"":""龙"",""element"":""火"",""color"":""红波"",""sumParity"":""合数单""}]",2023-01-01T13:30:00.000Z,1,"[""猪"",""狗"",""羊"",""虎"",""蛇"",""兔""]"
5,5,"[{""number"":""31"",""zodiac"":""狗"",""element"":""木"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""39"",""zodiac"":""龙"",""element"":""火"",""color"":""蓝波"",""sumParity"":""合数单""},{""number"":""24"",""zodiac"":""牛"",""element"":""木"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""04"",""zodiac"":""牛"",""element"":""土"",""color"":""绿波"",""sumParity"":""合数双""},{""number"":""34"",""zodiac"":""马"",""element"":""火"",""color"":""红波"",""sumParity"":""合数单""},{""number"":""26"",""zodiac"":""兔"",""element"":""木"",""color"":""红波"",""sumParity"":""合数双""},{""number"":""32"",""zodiac"":""羊"",""element"":""木"",""color"":""蓝波"",""sumParity"":""合数双""}]",2023-01-02T13:30:00.000Z,1,"[""兔"",""蛇"",""猪"",""马"",""猴"",""狗""]"
6,6,"[{""number"":""40"",""zodiac"":""牛"",""element"":""金"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""45"",""zodiac"":""猴"",""element"":""木"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""36"",""zodiac"":""龙"",""element"":""火"",""color"":""红波"",""sumParity"":""合数单""},{""number"":""11"",""zodiac"":""马"",""element"":""木"",""color"":""红波"",""sumParity"":""合数双""},{""number"":""43"",""zodiac"":""狗"",""element"":""木"",""color"":""蓝波"",""sumParity"":""合数单""},{""number"":""38"",""zodiac"":""龙"",""element"":""火"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""44"",""zodiac"":""羊"",""element"":""木"",""color"":""红波"",""sumParity"":""合数单""}]",2023-01-03T13:30:00.000Z,1,"[""猫"",""狗"",""羊"",""兔"",""虎"",""蛇""]"
7,7,"[{""number"":""46"",""zodiac"":""猪"",""element"":""土"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""50"",""zodiac"":""猪"",""element"":""水"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""02"",""zodiac"":""兔"",""element"":""木"",""color"":""红波"",""sumParity"":""合数单""},{""number"":""08"",""zodiac"":""鸡"",""element"":""木"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""20"",""zodiac"":""鸡"",""element"":""水"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""15"",""zodiac"":""虎"",""element"":""金"",""color"":""蓝波"",""sumParity"":""合数单""},{""number"":""23"",""zodiac"":""羊"",""element"":""木"",""color"":""蓝波"",""sumParity"":""合数单""}]",2023-01-04T13:30:00.000Z,1,"[""蛇"",""兔"",""猴"",""羊"",""狗"",""猪""]"
8,8,"[{""number"":""12"",""zodiac"":""蛇"",""element"":""水"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""02"",""zodiac"":""兔"",""element"":""木"",""color"":""红波"",""sumParity"":""合数单""},{""number"":""13"",""zodiac"":""龙"",""element"":""水"",""color"":""蓝波"",""sumParity"":""合数单""},{""number"":""28"",""zodiac"":""兔"",""element"":""木"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""33"",""zodiac"":""猴"",""element"":""木"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""14"",""zodiac"":""兔"",""element"":""木"",""color"":""红波"",""sumParity"":""合数双""},{""number"":""26"",""zodiac"":""兔"",""element"":""木"",""color"":""红波"",""sumParity"":""合数双""}]",2023-01-05T13:30:00.000Z,1,"[""狗"",""猫"",""蛇"",""兔"",""羊"",""虎""]"
9,9,"[{""number"":""25"",""zodiac"":""龙"",""element"":""火"",""color"":""蓝波"",""sumParity"":""合数单""},{""number"":""06"",""zodiac"":""猪"",""element"":""水"",""color"":""红波"",""sumParity"":""合数双""},{""number"":""15"",""zodiac"":""虎"",""element"":""金"",""color"":""蓝波"",""sumParity"":""合数单""},{""number"":""07"",""zodiac"":""马"",""element"":""木"",""color"":""蓝波"",""sumParity"":""合数单""},{""number"":""34"",""zodiac"":""马"",""element"":""火"",""color"":""红波"",""sumParity"":""合数单""},{""number"":""38"",""zodiac"":""龙"",""element"":""火"",""color"":""绿波"",""sumParity"":""合数单""},{""number"":""04"",""zodiac"":""牛"",""element"":""土"",""color"":""绿波"",""sumParity"":""合数双""}]",2023-01-06T13:30:00.000Z,1,"[""猪"",""虎"",""蛇"",""兔"",""狗"",""马""]"
10,10,"[{""number"":""11"",""zodiac"":""马"",""element"":""木"",""color"":""红波"",""sumParity"":""合数双""},{""number"":""16"",""zodiac"":""蛇"",""element"":""火"",""color"":""蓝波"",""sumParity"":""合数单""},{""number"":""20"",""zodiac"":""鸡"",""element"":""水"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""30"",""zodiac"":""狗"",""element"":""土"",""color"":""红波"",""sumParity"":""合数双""},{""number"":""24"",""zodiac"":""牛"",""element"":""木"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""22"",""zodiac"":""羊"",""element"":""木"",""color"":""蓝波"",""sumParity"":""合数双""},{""number"":""40"",""zodiac"":""牛"",""element"":""金"",""color"":""蓝波"",""sumParity"":""合数双""}]",2023-01-07T13:30:00.000Z,1,"[""猫"",""兔"",""狗"",""蛇"",""虎"",""羊""]"
